sentiment_id,user_name,tweet,longitude,latitude,sentiment
movies_1573869036.402642,AmandaPants 👖,The mister is itching to subscribe to Disney+ but I am urging him to wait a month so that I will have something to… https://t.co/0CBsYkiBFO,-75.78876,38.45104,Neutral
movies_1573869119.691277,LØST,Mos Def should’ve been in more movies.,-73.962585,40.54172,Positive
movies_1573869158.908583,Connie,High School Musical really got some BOPS in all 3 movies,-76.33429,36.82079,Positive
movies_1573869186.786878,Charles Martínez-Cartagena 🇵🇷,Thanks for laying out my weekend @starwars 🤩🤪 let’s do this!,-82.620094,27.821354,Positive
movies_1573869202.797205,cassandra,ive seen a total of three movies and they’re all the grinch,-84.82031,38.403187,Neutral
movies_1573869203.875978,Rals🇧🇸🦅,Throw it down in the kitchen for her then watch movies for the rest of the night 🤗,-80.47561,20.912264,Negative
movies_1573869215.741889,𝕂𝕚𝕒𝕚𝕣𝕒 ℂ𝕠𝕠𝕡𝕖𝕣,"Who remembers the star drill from basketball practice...lol

Also, the original caption... BIG FACTS!",-102.051765,36.99311,Positive
movies_1573869319.412382,I AM NADINE! HEAR ME ROAR!🐻🐯🐼🦁,Disney sets release dates for untitled Marvel movies  https://t.co/LCscNtZWCZ,-117.97685,33.903618,Neutral
movies_1573869352.008888,MJ ⚡️⚽️,It’s a nice night to do pizza and movies,-80.24898,25.986229,Positive
movies_1573869369.490291,stacy,Gonna have a super fun Friday night watching sad movies &amp; stuffing my face and ignoring my homework :),-102.03377,33.44712,Positive
movies_1573869446.645197,Kisava,@ReeseW thank you!! I love u. Ur taste in books and movies and u as an actress but #shineon makes me proud to be a… https://t.co/AEKioJXCUI,-61.930542,10.042419,Positive
movies_1573869457.023689,Kayla Feydo,"Of all the movies and shows we've watched on Disney+ so far, Klay seems to like Lizzie McGuire the most. 😂",-80.77368,41.20392,Positive
movies_1573869486.740901,jeғe ♛..,i wan go to the movies🙄,-74.205826,40.88864,Negative
movies_1573869504.03304,Srikanth Reddy,"What's your fav song in NTR movies?
Quote/reply with tag
   #19YrsOfSovereignNTR, , In list, 5 items",67.99769,6.622513,Neutral
movies_1573869514.251488,Elias,"Ben Affleck makes gritty, dramatic transformation in moving 'The Way Back' trailer https://t.co/TmWPcUUUCq",-117.94205,34.08468,Negative
movies_1573869519.999956,Wavy Crockett,@DaBabyDaBaby OUT HERE MAKING MOVIES! 🤯,-123.023735,46.98219,Neutral
movies_1573869708.282713,joven,"how did she portray a white woman, if she is Latina !!!!!!! I’m the real confused one. so just because she’s Latina… https://t.co/OJeVkK2J9i",-74.25136,40.679996,Negative
movies_1573869722.357924,🔥Swastika🔥,"I am already very proud of this success and mostly on this greek god! 
Love him to tge infinity and wish him to mak… https://t.co/sJnpCGOZLX",88.014244,22.39602,Positive
movies_1573869802.694901,roytheodd,"""Tower Heist"" : Thanksgiving movies :: ""Die Hard"" : Christmas movies

https://t.co/dQYbLKStw5",-118.6684,33.704536,Negative
movies_1573869833.867856,Riot Twenty 🍥,Love how I just took @hustlincakes to the movies and she didn't wake me up throughout the whole movie because she k… https://t.co/IwHAXglKom,-118.26239,34.521164,Positive
movies_1573869845.25603,Hailey,Adam  @ThisIsRotella won’t watch any Lindsey Lohan movies 😂 but this was the golden era #DisneyPlus,-97.92893,30.127892,Positive
movies_1573869860.906275,عثمان علی اکرم (PTI )❤,@ushnashah you are already big researchers.and   You are the greatest woman to find in pornography movies. Disgrace… https://t.co/DAf9lKZcUV,74.267586,31.451221,Positive
movies_1573869956.898135,Nicole,"Pizza, cookies, ice cream, and Christmas movies call for a wonderful night with little Rachie bran",-83.69092,41.348045,Positive
movies_1573869979.250042,Vicky Leandra,@disneyplus 60 minutes before I am able to get help...I just need to know why we cannot replay movies we watched yesterday...,-82.5444,35.371967,Positive
movies_1573869997.942729,⚡️ 𝖉𝖊𝖊𝖕𝖘 ⚡️,cute tho,120.497795,15.112006,Positive
movies_1573870029.621102,hina ansari,Watching one of my fave films. Being There was made in late 70s but its #political message (delivered in satirical… https://t.co/NyithQkAcy,-79.63932,43.40322,Negative
movies_1573870075.436346,Lil Leviathan Stan,Yo disney+ got movies i forgot about i FUCK with MotoCrossed and Brink team pup n suds biiiiiiitch,-119.93251,36.648907,Negative
movies_1573870139.380059,harley watkins,I’ve already lost track of what movies I’ve watched on Disney+ 🙃 #DisneyPlus #obsessed,-96.83953,32.48437,Negative
movies_1573870149.494233,Timmo,@Ninergirl99 One of my favorite movies,-121.973236,36.96546,Positive
movies_1573870161.657371,ℒ𝑒𝓍❄️,I swear step brothers is one of my favorite movies! This shit kills me every time💀,-95.83502,29.482424,Positive
movies_1573870174.896279,Real Ryan G,I’m trynna find a premium snap but it’s only me and sometimes we hang out in real life just the two of us going to… https://t.co/V2heNEhFNQ,-111.96078,33.435863,Positive
movies_1573870187.916424,McKayla🧸,Someone come watch Disney+ movies with me and hold me while i cry☹️🥺,-102.43497,31.792562,Neutral
movies_1573870192.209298,Bridget Conway (she/her),forever mood,-71.01153,42.444954,Neutral
movies_1573870202.474014,Butlertime,"not a huge fan of star wars, don’t hate but don’t love.BUT #TheMandalorian is so awesome!the puppets &amp; real special… https://t.co/UVskbbk5Hd",-88.13852,42.422886,Negative
movies_1573870205.607053,Tyler Tredway 🐺,@MikeDiamond2006 Haha those movies are top 5. I was watching Gargoyles yesterday. That was my favorite as a kid,-83.20017,39.832012,Positive
movies_1573870249.531005,🏳️‍🌈🌎Barbara Kruczyński🌍🏳️‍🌈,"1. Anomalisa
2. The Tale of the Princess Kaguya
3. Kubo and two strings
4. Isle of Dogs
5. Inside Out
6. How To Tra… https://t.co/iemes6lyaq",-48.28598,-16.052404,Neutral
movies_1573870296.468162,Hudson’s Bae Company,"Keep visiting my small hometown ready to eschew the callings of big city capitalism, but still haven’t met a secret… https://t.co/jbkc7JilFh",-53.096626,47.433582,Negative
movies_1573870301.701869,Demetre ♕ Cartier,Waaaait lol not Meg,-118.6684,33.704536,Positive
movies_1573870360.752378,teeny,Me and my family loooove Ratatouille. It’s one of our favorite movies ♥️,-118.15139,33.865643,Positive
movies_1573870427.723546,Janae✨,I want shameka to come drink wine &amp; watch romantic movies w me but she want me to come get her 🙃🙃🙃🙃 tf,-84.276146,39.639942,Neutral
